2022-03-03T09-56-49,72455,FIVE RIVERS MED CENTER,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,72455,FIVE RIVERS MED CENTER,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,72455,FIVE RIVERS MED CENTER,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,72455,FIVE RIVERS MEDICAL CENTER,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,72455,FIVE RIVERS MEDICAL CENTER,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,72455,FIVE RIVERS MEDICAL CENTER,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,72455,FIVE RIVERS MEDICAL CENTER,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,72455,FIVE RIVERS MEDICAL CENTER,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,72455,FIVE RIVERS MEDICAL CENTER,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,72455,FIVE RIVERS MEDICAL CENTER,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,72455,FIVE RIVERS MEDICAL CENTER,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,72455,FIVE RIVERS MEDICAL CENTER,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,72455,FIVE RIVERS MEDICAL CENTER,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,72455,FIVE RIVERS MEDICAL CENTER,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,72455,FIVE RIVERS MEDICAL CENTER,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
