2022-02-18T16-04-21,73160,MOORE CARE,02/16/2022 12:00:00 AM,,42,,
2022-03-03T09-56-49,73160,MOORE CARE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-03T10-04-44,73160,MOORE CARE,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,180,,
2022-03-08T14-40-56,73160,MOORE CARE,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,180,,
2022-03-18T09-58-11,73160,MOORE CARE FAMILY PRACTICE,NLP,NLP,NLP,253,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,73160,MOORE CARE FAMILY PRACTICE,NLP,NLP,NLP,253,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,73160,MOORE CARE FAMILY PRACTICE,NLP,NLP,NLP,253,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,73160,MOORE CARE FAMILY PRACTICE,NLP,NLP,NLP,253,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,73160,MOORE CARE FAMILY PRACTICE,NLP,NLP,NLP,253,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,73160,MOORE CARE FAMILY PRACTICE,NLP,NLP,NLP,253,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,73160,MOORE CARE FAMILY PRACTICE,NLP,NLP,NLP,253,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,73160,MOORE CARE FAMILY PRACTICE,NLP,NLP,NLP,253,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,73160,MOORE CARE FAMILY PRACTICE,NLP,NLP,NLP,253,03/16/2022 12:00:00 AM
