2022-02-18T16-04-21,73533,DUNCAN REGIONAL HOSPITAL PHARMACY,02/16/2022 12:00:00 AM,,18,,
2022-03-03T09-56-49,73533,DUNCAN REGIONAL HOSPITAL PHARMACY,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,73533,DUNCAN REGIONAL HOSPITAL PHARMACY,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,73533,DUNCAN REGIONAL HOSPITAL PHARMACY,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,73533,"DUNCAN REGIONAL HOSPITAL, INC",NLP,NLP,NLP,55,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,73533,"DUNCAN REGIONAL HOSPITAL, INC",NLP,NLP,NLP,55,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,73533,"DUNCAN REGIONAL HOSPITAL, INC",NLP,NLP,NLP,55,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,73533,"DUNCAN REGIONAL HOSPITAL, INC",NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,73533,"DUNCAN REGIONAL HOSPITAL, INC",NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,73533,"DUNCAN REGIONAL HOSPITAL, INC",NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,73533,"DUNCAN REGIONAL HOSPITAL, INC",NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,73533,"DUNCAN REGIONAL HOSPITAL, INC",NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,73533,"DUNCAN REGIONAL HOSPITAL, INC",NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,73533,"DUNCAN REGIONAL HOSPITAL, INC",NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,73533,"DUNCAN REGIONAL HOSPITAL, INC",NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
