2022-03-08T14-40-56,77539,BAY COLONY PEDIATRICS,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,77539,BAY COLONY PEDIATRICS,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,77539,BAY COLONY PEDIATRICS,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,77539,BAY COLONY PEDIATRICS,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-25T08-10-53,77539,BAY COLONY PEDIATRICS,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,77539,BAY COLONY PEDIATRICS,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,77539,BAY COLONY PEDIATRICS,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,77539,BAY COLONY PEDIATRICS,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,77539,BAY COLONY PEDIATRICS,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,77539,BAY COLONY PEDIATRICS,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,77539,BAY COLONY PEDIATRICS,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
