2022-02-18T16-04-21,77901,VICTORIA CO REG INF CTR VICTORIA,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,144,,
2022-03-03T09-56-49,77901,VICTORIA CO REG INF CTR VICTORIA,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,312,,
2022-03-03T10-04-44,77901,VICTORIA CO REG INF CTR VICTORIA,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,456,,
2022-03-08T14-40-56,77901,VICTORIA CO REG INF CTR VICTORIA,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,456,,
2022-03-16T18-51-35,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,406,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,406,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,406,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,530,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,530,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,530,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,530,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,530,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,530,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,530,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,530,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,530,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,530,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,530,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,527,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,527,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,527,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,77901,Victoria TDEM COVID-19 Infusion Center,NLP,NLP,NLP,527,03/23/2022 12:00:00 AM
