2022-02-18T16-04-21,78155,GUADALUPE REGIONAL MEDICAL CENTER,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,72,,
2022-03-03T09-56-49,78155,GUADALUPE REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,144,,
2022-03-03T10-04-44,78155,GUADALUPE REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,144,,
2022-03-08T14-40-56,78155,GUADALUPE REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,144,,
2022-03-16T18-51-35,78155,GUADALUPE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,229,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,78155,Seguin RIC,NLP,NLP,NLP,229,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,78155,GUADALUPE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,229,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,78155,Seguin RIC,NLP,NLP,NLP,229,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,78155,GUADALUPE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,229,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,78155,Seguin RIC,NLP,NLP,NLP,229,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,78155,GUADALUPE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,228,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,78155,Seguin RIC,NLP,NLP,NLP,270,03/16/2022 12:00:00 AM
