2022-03-08T14-40-56,78257,FULL SPECTRUM ER AT THE RIM,03/07/2022 12:00:00 AM,03/04/2022 12:00:00 AM,96,,
2022-03-16T18-51-35,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,48,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,48,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,48,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,78257,Full Spectrum Emergency Room at The RIM,NLP,NLP,NLP,95,03/16/2022 12:00:00 AM
