2022-02-18T16-04-21,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTE,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTE,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,84,,
2022-03-03T10-04-44,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTE,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,84,,
2022-03-08T14-40-56,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTE,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,84,,
2022-03-16T18-51-35,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,29,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,29,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,29,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,18,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,80487,UCHEALTH YAMPA VALLEY MEDICAL CENTER,NLP,NLP,NLP,18,03/23/2022 12:00:00 AM
