2022-02-18T16-04-21,89052,ST ROSE DOMINICAN - SIENA,02/16/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,89052,ST ROSE DOMINICAN - SIENA,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,89052,ST ROSE DOMINICAN - SIENA,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,89052,ST ROSE DOMINICAN - SIENA,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,89052,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,89052,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,89052,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,89052,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,89052,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,89052,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,89052,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,89052,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,89052,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,89052,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,89052,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
