2022-02-18T16-04-21,89434,NORTHERN NEVADA MEDICAL CENTER,02/16/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,89434,NORTHERN NEVADA MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,89434,NORTHERN NEVADA MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,89434,NORTHERN NEVADA MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-18T11-17-38,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,79,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,79,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,79,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,79,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,79,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,79,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,79,03/16/2022 12:00:00 AM
