2022-02-18T16-04-21,97330,GOOD SAMARITAN HOSPITAL,02/17/2022 12:00:00 AM,,18,,
2022-03-03T09-56-49,97330,GOOD SAMARITAN HOSPITAL,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,97330,GOOD SAMARITAN HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,97330,GOOD SAMARITAN HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,97330,GOOD SAMARITAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,97330,GOOD SAMARITAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,97330,GOOD SAMARITAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,97330,GOOD SAMARITAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,97330,GOOD SAMARITAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,97330,GOOD SAMARITAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,97330,GOOD SAMARITAN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
