2022-02-18T16-04-21,97850,GRANDE RONDE HOSPITAL,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,97850,GRANDE RONDE HOSPITAL,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,97850,GRANDE RONDE HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,97850,GRANDE RONDE HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,97850,GRANDE RONDE HOSPITAL,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,97850,GRANDE RONDE HOSPITAL,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,97850,GRANDE RONDE HOSPITAL,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,97850,GRANDE RONDE HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,97850,GRANDE RONDE HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,97850,GRANDE RONDE HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,97850,GRANDE RONDE HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,97850,GRANDE RONDE HOSPITAL,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
