provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,npi,last_report_date,provider_status,provider_note
WYBENGA FAMILY HEALTH CARE,564 N MEMORIAL DR,,Prattville,Autauga,AL,36067,00173-0901-86,Sotrovimab,7,POINT (-86.45133 32.4747),,2022-02-23T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,,Bay Minette,Baldwin,AL,36507,00173-0901-86,Sotrovimab,39,POINT (-87.784465 30.90381),,2022-03-30T00:00:00.000,ACTIVE,
PHARMERICA - DAPHNE 902,9052 Independence Ave.,,Daphne,Baldwin,AL,36526,00173-0901-86,Sotrovimab,6,POINT (-87.868245 30.642755),,2022-03-30T00:00:00.000,ACTIVE,
THOMAS HOSPITAL,750 MORPHY AVENUE,,Fairhope,Baldwin,AL,36532,00173-0901-86,Sotrovimab,23,POINT (-87.88833 30.51898),,2022-03-30T00:00:00.000,ACTIVE,
SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,,Foley,Baldwin,AL,36535,00173-0901-86,Sotrovimab,18,POINT (-87.68386 30.427),,2022-03-30T00:00:00.000,ACTIVE,
MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,,Eufaula,Barbour,AL,36027,00173-0901-86,Sotrovimab,33,POINT (-85.15618 31.88871),,2022-03-30T00:00:00.000,ACTIVE,
MainStreet Family Care - Eufaula,1026 South Eufaula Ave,,Eufaula,Barbour,AL,36027,00173-0901-86,Sotrovimab,63,POINT (-85.147444 31.879955),,2022-03-30T00:00:00.000,ACTIVE,
MainStreet Family Care - Oneonta,2022 2nd Ave East,,Oneonta,Blount,AL,35121,00173-0901-86,Sotrovimab,74,POINT (-86.4537 33.96928),,2022-03-30T00:00:00.000,ACTIVE,
Primary Care Services-Blount LLC,101 Lemley Dr.,,Oneonta,Blount,AL,35121,00173-0901-86,Sotrovimab,16,POINT (-86.48795 33.93875),,2022-03-30T00:00:00.000,ACTIVE,
ST VINCENTS BLOUNT,150 GILBREATH DRIVE,,Oneonta,Blount,AL,35121,00173-0901-86,Sotrovimab,17,POINT (-86.49415 33.92995),,2022-03-30T00:00:00.000,ACTIVE,
BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,,Union Springs,Bullock,AL,36089,00173-0901-86,Sotrovimab,21,POINT (-85.714085 32.146155),,2022-03-30T00:00:00.000,ACTIVE,
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,,Anniston,Calhoun,AL,36207,00173-0901-86,Sotrovimab,33,POINT (-85.82359 33.65613),,2022-03-30T00:00:00.000,ACTIVE,
PrimaryCareCenterofNortheast AL,304 E 4th St.,,Anniston,Calhoun,AL,36207,00173-0901-86,Sotrovimab,11,POINT (-85.826555 33.649383),,2022-03-23T00:00:00.000,ACTIVE,
