Facility ID,Provider Name,Grantee Code,Provider Pin,State Provider Pin,NPI,Address1,Address2,City,State,Zip,Last Report Date,Public Website,Phone Number,Provider Status,Provider Note,Geopoint
245734408768231850869552474585419107175,CVS Store #01545,CV1,001545,,1083788319,1500 SPRUCE STREET,CVS Pharmacy,PHILADELPHIA,PA,19102,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-75.16676 39.94692)
279713521804764925327480002883919454865,CASS FAMILY CLINIC,MIA,None,MIA140002,None,261 M 62,,Cassopolis,MI,49031,03/15/2022 12:00:00 AM,,,ACTIVE,,POINT (-86.01267 41.91461)
245734408771097005062039145729472744295,CVS Store #00240,CV1,000240,,1952400301,6 JFK STREET,CVS Pharmacy,CAMBRIDGE,MA,02138,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-71.119345 42.373265)
281263467540569244720409661900835163881,THUNDER BAY COMM HLTH SRVC - ATL,HR2,HH6220,,None,11899 M 32 W,,Atlanta,MI,49709,03/23/2022 12:00:00 AM,,,ACTIVE,,POINT (-84.15552 45.00685)
245734408763935328506642082498513357671,CVS Store #08437,CV1,008437,,1699960153,188 LINDEN ST.,CVS Pharmacy,WELLESLEY,MA,02482,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-71.29284 42.30133)
250220957640628904127863132062246162879,CommCare SE Hlth + Wellness Ctr,HR2,070693,,1255598876,2901 Montopolis Dr,,Austin,TX,78741,03/16/2022 12:00:00 AM,,512-978-9901,ACTIVE,,POINT (-97.710107 30.21472)
278573684016266770834173106235661504836,CITY OF HOPE NATIONAL MEDICAL CENTE,CAA,None,CAAF18594,None,1500 DUARTE RD,,DUARTE,CA,91010,03/27/2022 12:00:00 AM,,,ACTIVE,,POINT (-117.97374 34.1307)
242515351452548969614531494587207954356,CVS Store #17180,CV1,017180,,1275794521,3599 W HILLSBORO BLVD,CVS Pharmacy,DEERFIELD BEACH,FL,33442,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-80.15107 26.31948)
245734408760954117435472406953687927655,CVS Store #09342,CV1,009342,,1124061486,16995 WALNUT GROVE DR.,CVS Pharmacy,MORGAN HILL,CA,95037,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-121.63843 37.12922)
242510027579158130903075145738523144072,Walgreens Store #03133,WG1,003133,WIA778374,1033124185,2301 S ONEIDA ST,,ASHWAUBENON,WI,54304,03/25/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,ACTIVE,,POINT (-88.064807 44.48896)
245734408772107667047236975719527107431,CVS Store #02775,CV1,002775,,1982703336,2601 RIVA RD.,CVS Pharmacy,ANNAPOLIS,MD,21401,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-76.55602 38.975565)
245734408763579904315675381521149741927,CVS Store #09805,CV1,009805,,1194768937,1720 S BASCOM AVE,CVS Pharmacy,CAMPBELL,CA,95008,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-121.93168 37.2926)
245551428030378896614048145507166624287,KROGER PHARMACY 01100449,KG1,011449,GAAC00385,1326072133,1227 ROCKBRIDGE RD,,STONE MOUNTAIN,GA,30087,03/25/2022 12:00:00 AM,https://www.kroger.com/health/clinic,,ACTIVE,,POINT (-84.132765 33.84104)
245734408777383419324035217437944859495,CVS Store #06058,CV1,006058,,1871696625,260 ARDEN AVE.,CVS Pharmacy,STATEN ISLAND,NY,10312,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-74.1923 40.55324)
245734408764677608959885464811782949735,CVS Store #16612,CV1,016612,,1235151994,9901 YORK RD,CVS Pharmacy,COCKEYSVILLE,MD,21030,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-76.63401 39.46177)
245734408770052493153892106122526608231,CVS Store #01452,CV1,001452,,1487758306,12215 DARNESTOWN ROAD,CVS Pharmacy,GAITHERSBURG,MD,20878,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-77.25395 39.11904)
245734408772286588068539940837383621479,CVS Store #04850,CV1,004850,,1376863480,2715 E. BATTLEFIELD ST.,CVS Pharmacy,SPRINGFIELD,MO,65804,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-93.24218 37.15945)
245551428031761907751687281283030489631,KROGER PHARMACY 02400346,KG1,024346,KYA0PH347,1821022641,3039 BRECKENRIDGE LN,,LOUISVILLE,KY,40220,03/25/2022 12:00:00 AM,https://www.kroger.com/health/clinic,,ACTIVE,,POINT (-85.62661 38.21773)
245734408765959070328676971736971496295,CVS Store #10618,CV1,010618,,1952783516,5326 WEST 11000 NORTH,CVS Pharmacy,HIGHLAND,UT,84003,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-111.78584 40.43244)
281456680021103047546987341978266114820,PhysicianOne UrgCare/Bristol,CTA,None,CTA80012,None,576 Farmington Ave,,Bristol,CT,06010,03/22/2022 12:00:00 AM,,,ACTIVE,,POINT (-72.92433 41.689985)
245734408776043929515902208312370416487,CVS Store #06940,CV1,006940,,1821191578,2000 HARRODSBURG RD,CVS Pharmacy,LEXINGTON,KY,40503,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-84.53498 38.02592)
245734408763299433525524787552617909095,CVS Store #09751,CV1,009751,,1093750994,5623 KANAN RD.,CVS Pharmacy,AGOURA HILLS,CA,91301,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-118.75857 34.15259)
250886217427472075443443920814842991693,Florida Community HC - Fort Pierce,HR2,560017,,None,1505 Delaware Ave,,Fort Pierce,FL,34950,03/25/2022 12:00:00 AM,http://www.fchcinc.org,772-461-1402,ACTIVE,,POINT (-80.33937 27.44316)
242515351454166512361175868422964817844,CVS Store #10187,CV1,010187,,1649693052,11385 SOUTH 700 EAST,CVS Pharmacy,SANDY,UT,84070,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-111.87202 40.54497)
245734408768396264781020064153179147111,CVS Store #01214,CV1,001214,,1134211618,470 ROUTE 36,CVS Pharmacy,HIGHLANDS,NJ,07732,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-74.004205 40.40561)
246380479533147926078218130735260927639,CONWAYS DANVILLE PHARMACY,CP1,368722,OHA060276,1588123608,14 EAST MAIN STREET,,DANVILLE,OH,43014,03/25/2022 12:00:00 AM,,,ACTIVE,,POINT (-82.259355 40.450885)
245734408769365823288350996751293500263,CVS Store #01367,CV1,001367,,1528245545,13090 PETIGRU DR.,CVS Pharmacy,CARMEL,IN,46032,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-86.20557 39.9768)
242510027573672025533663958543706517384,Walgreens Store #09535,WG1,009535,,1932114121,8220 NAVARRE PKWY,,NAVARRE,FL,32566,03/25/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,ACTIVE,,POINT (-86.879242 30.40225)
242510027583133078997968046464957050760,Walgreens Store #05387,WG1,005387,CHACV0123,1700891025,79 W MONROE ST,,CHICAGO,IL,60603,03/25/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,ACTIVE,,POINT (-87.630517 41.88027)
245734408772649265814424329589795474279,CVS Store #03686,CV1,003686,,1659475572,30387 US HWY 19 N,CVS Pharmacy,CLEARWATER,FL,33761,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-82.737713 28.04848)
245734408772617833743114349231253113703,CVS Store #03665,CV1,003665,,1407163140,1299 EAST OGDEN AVE.,CVS Pharmacy,NAPERVILLE,IL,60563,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-88.12279 41.79619)
245734408777915346684665654274815576935,CVS Store #07259,CV1,007259,,1528217577,1206 N. GRAVEL PIKE,CVS Pharmacy,ZIEGLERSVILLE,PA,19492,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-75.48176 40.27418)
245734408761065338610876952837760895847,CVS Store #07852,CV1,007852,,1154425049,28138 N. TATUM BLVD.,CVS Pharmacy,CAVE CREEK,AZ,85331,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-111.978812 33.740525)
250220957640684514715565405004282646975,BROCKTON NEIGHBORHOOD HEALTH CENTER,HR2,060351,,None,63 Main St,,Brockton,MA,02301,03/21/2022 12:00:00 AM,http://www.bnhc.org,508-559-6699,ACTIVE,,POINT (-71.02015 42.08455)
245734408763074573323076466526122560359,CVS Store #09723,CV1,009723,,1386685204,11428 KENYON WAY,CVS Pharmacy,RANCHO CUCAMONGA,CA,91701,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-117.555693 34.13551)
245734408762356471386225376796347091815,CVS Store #09187,CV1,009187,,1285675199,683 LOMAS SANTA FE DR.,CVS Pharmacy,SOLANA BEACH,CA,92075,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-117.26263 32.99603)
