provider_name,address1,address2,city,state,zip,last_report_date,public_website,phone_number,geopoint
SOUTH PENINSULA HOSPITAL INC,4300 Bartlett St,,Homer,AK,99603,2022-07-06T00:00:00.000,,,POINT (-151.55009 59.65264)
673 MDSS/SGSM,Attn: Medical Supply,5955 Zeamer Avenue,Jber,AK,99506,2022-04-27T00:00:00.000,,,POINT (-149.7486481 61.2373577)
KODIAK COMMUNITY HEALTH CENTER,1911 E. Rezanof Dr,,Kodiak,AK,99615,2022-03-14T00:00:00.000,,,POINT (-152.37546 57.80087)
CAMAI COMM HLTH CTR INC,2 School Road,,Naknek,AK,99633,2022-07-14T00:00:00.000,http://www.camaichc.org,907-246-6155,POINT (-157.007658 58.734786)
Southeast Alaska Regional Health Co,222 Tongass Ave,Pharmacy,Sitka,AK,99835,2022-07-14T00:00:00.000,,,POINT (-135.35517 57.04967)
Soldotna Professional Pharmacy,299 N Binkley,,Soldotna,AK,99669,2022-07-13T00:00:00.000,,,POINT (-151.07297 60.49456)
METRO HLTH CTR,712 25th street north,,Birmingham,AL,35203,2022-07-15T00:00:00.000,http://www.alabamaarms.org,205-407-6900,POINT (-86.80302 33.52376)
CAHABA MED CARE - WEST END OFFICE,1308 Tuscaloosa Ave SW,,Birmingham,AL,35211,2022-06-15T00:00:00.000,http://www.cahabamedicalcare.com,205-679-6325,POINT (-86.85465 33.49326)
QUALITY OF LIFE HEALTH COMPLEX,1411 Piedmont Cutoff,,Gadsden,AL,35903,2022-07-15T00:00:00.000,http://www.qolhs.org,256-492-0131,POINT (-85.95624 33.99837)
HUNTSVILLE HOSPITAL FEVER AND FLU,101 SIVLEY RD SW,,Huntsville,AL,35801,2022-07-15T00:00:00.000,,,POINT (-86.5818 34.72105)
SYNERGY WELLNESS,7105 BAILEY CREEK CIR,Suite B,Huntsville,AL,35802,2022-07-17T00:00:00.000,,,POINT (-86.537611 34.673515)
SYNERGY WELLNESS,4820 UNIVERSITY DRIVE,SUITE 35,Huntsville,AL,35816,2022-07-17T00:00:00.000,,,POINT (-86.653494 34.738244)
FRANKLIN MEDICAL MALL,1303 Dr. Martin Luther King Jr. Ave,Attention Pharmacy,Mobile,AL,36603,2022-07-08T00:00:00.000,http://www.franklinprimary.org,251-432-4117,POINT (-88.06549 30.69937)
CARBON HEALTH-MOBILE,2370 HILLCREST RD,SUITE M,Mobile,AL,36695,2022-07-13T00:00:00.000,,,POINT (-88.19212 30.642364)
PICKENS COUNTY PRIMARY CARE PC,108 4th Ave SW,Suite A,Reform,AL,35481,2022-07-15T00:00:00.000,,,POINT (-86.844926 34.172365)
ARCARE 10,400 Hwy 64 E,,Augusta,AR,72006,2022-07-11T00:00:00.000,http://www.arcare.net,870-347-2508,POINT (-91.36293 35.29277)
VILLAGE PHARMACY,500 W COMMERCIAL ST,,Ozark,AR,72949,2022-07-18T00:00:00.000,,,POINT (-93.82948 35.48744)
Walmart Pharmacy #4108,4870 Elm Springs Rd,,Springdale,AR,72762,2022-07-14T00:00:00.000,https://www.walmarthealth.com/,,POINT (-94.18398 36.1956)
COMMUNITY CLINIC SPRINGDALE,"614 E. Emma Ave., Suite 300",,Springdale,AR,72764,2022-07-15T00:00:00.000,http://www.communityclinicnwa.org,479-751-7417,POINT (-94.12291 36.1854)
Tafuna Community Health Center,TAFUNA ACF HEALTH CENTER,5668 PETESA ROAD,Pago Pago,AS,96799,2022-06-15T00:00:00.000,,,POINT (-170.7 -14.27)
DESERT SENITA COMM HLTH CTR,410 N Malacate St,,Ajo,AZ,85321,2022-07-13T00:00:00.000,http://www.desertsenita.org,520-387-5651,POINT (-112.863675 32.375555)
WALGREENS STORE #06333,2440 S IRONWOOD DR,,Apache Junction,AZ,85120,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-2440+s+ironwood+dr-apache%20junction-az-85120/id=6333,,POINT (-111.56418 33.39149)
FRYS PHARMACY 66000112,1575 N DYSART RD,,Avondale,AZ,85392,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-112.339225 33.463185)
WALGREENS STORE #03387,10705 W INDIAN SCHOOL RD,,Avondale,AZ,85392,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-10705+w+school+rd-avondale-az-85392/id=3387,,POINT (-112.290717 33.493135)
